SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON
"NW06MA0001","2000-02-17 14:30","","7.2","0.1","","10111","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.05","0.05","","100081","MG/L","ALUMINUM EXTRACTABLE","ALUMINIUM EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.008","0.002","","100216","MG/L","ALUMINUM TOTAL","ALUMINIUM TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","",".021","0.002","","7557","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0","","","7570","MG/L","AMMONIA UN-IONIZED (CALCD.)","AZOTE AMMONIACAL NON IONISÉ (CALC.)","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.0001","0.0001","","100253","MG/L","ARSENIC DISSOLVED","ARSENIC DISSOUS","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.02","0.002","","100082","MG/L","BARIUM EXTRACTABLE","BARYUM EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.0196","0.0002","","100217","MG/L","BARIUM TOTAL","BARYUM TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.001","0.001","","100083","MG/L","BERYLLIUM EXTRACTABLE","BÉRYLLIUM EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.05","0.05","","100218","µG/L","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.01","0.01","","100097","MG/L","BORON EXTRACTABLE","BORE EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.005","0.005","","100084","MG/L","CADMIUM EXTRACTABLE","CADMIUM EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.0001","0.0001","","100219","MG/L","CADMIUM TOTAL","CADMIUM TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","2.12","0.01","","100431","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","2.3","1","","100098","MG/L","CALCIUM EXTRACTABLE/UNFILTERED","CALCIUM EXTRACTIBLE/NON FILTRÉ","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","2.28","0.01","","100232","MG/L","CALCIUM TOTAL","CALCIUM TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","1.272","","","6401","MG/L","CARBON DIOXIDE FREE (CALCD.)","DIOXYDE DE CARBONE LIBRE (CALC.)","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","1.2","0.1","","100300","MG/L","CARBON DISSOLVED INORGANIC","CARBONE INORGANIQUE DISSOUS","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","3.7","0.1","","6104","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.046","0.005","","6902","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","3.746","","","6002","MG/L","CARBON TOTAL ORGANIC (CALCD.)","CARBONE ORGANIQUE TOTAL (CALC.)","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","1.64","0.05","","17206","MG/L","CHLORIDE DISSOLVED","CHLORURES DISSOUS","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.005","0.005","","100086","MG/L","CHROMIUM EXTRACTABLE","CHROME EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.0002","0.0002","","100221","MG/L","CHROMIUM TOTAL","CHROME TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.005","0.005","","100085","MG/L","COBALT EXTRACTABLE","COBALT EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.0001","0.0001","","100220","MG/L","COBALT TOTAL","COBALT TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","10","","","2021","REL UNIT","COLOUR TRUE","COULEUR VRAIE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","17.1","1","","109027","µS/CM","CONDUCTANCE (FIELD)","CONDUCTANCE (TERRAIN)","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","<","0.005","0.005","","100087","MG/L","COPPER EXTRACTABLE","CUIVRE EXTRACTIBLE","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.0006","0.0002","","100222","MG/L","COPPER TOTAL","CUIVRE TOTAL","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","",".024","0.005","","7110","MG/L","DISSOLVED NITRITE/NITRATE","NITRITES/NITRATES DISSOUS","P","1999PN237570"
"NW06MA0001","2000-02-17 14:30","","0.05","","","9117","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P","1999PN237570"
