SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON
"AL11AA0002","2006-08-28 11:00","","5.6","0.1","","10151","MG/L","ALKALINITY PHENOLPHTHALEIN CACO3","ALCALINITÉ PHÉNOLPHTALÉINE CACO3","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","205.","0.1","","10111","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","0.026","0.005","","7540","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","0.002","","","7570","MG/L","AMMONIA UN-IONIZED (CALCD.)","AZOTE AMMONIACAL NON IONISÉ (CALC.)","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","236.242","","","6201","MG/L","BICARBONATE (CALCD.)","BICARBONATE (CALC.)","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","56.2","0.05","","20103","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","1.273","","","6401","MG/L","CARBON DIOXIDE FREE (CALCD.)","DIOXYDE DE CARBONE LIBRE (CALC.)","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","12.8","0.1","","6104","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","0.669","0.005","","6901","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","13.469","","","6002","MG/L","CARBON TOTAL ORGANIC (CALCD.)","CARBONE ORGANIQUE TOTAL (CALC.)","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","6.72","","","6301","MG/L","CARBONATE (CALCD.)","CARBONATE (CALC.)","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","26.3","0.01","","17209","MG/L","CHLORIDE DISSOLVED","CHLORURES DISSOUS","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","","1696","1","","109027","µS/CM","CONDUCTANCE (FIELD)","CONDUCTANCE (TERRAIN)","P","2006PN070079"
"AL11AA0002","2006-08-28 11:00","<","0.010","0.005","","7110","MG/L","DISSOLVED NITRITE/NITRATE","NITRITES/NITRATES DISSOUS","P","2006PN070079"
