SITE_NO,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PROV_TERR_FR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,OPEN_DATA_URL
"00000072","BEAUHARNOIS CANAL AT RTE 132 BRIDGE IN VALLEYFIELD","CANAL DE BEAUHARNOIS AU PONT-ROUTE 132 À VALLEYFIELD","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.2241","-74.1156","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/00000072.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"00000075","ST.LAWRENCE RIVER WATER INTAKE AT THE WATER PLANT IN CONTRECOEUR","FLEUVE SAINT-LAURENT À LA PRISE D'EAU DE L'USINE DE FILTRATION DE CONTRECOEUR","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.8558","-73.2439","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/00000075.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"00000078","ST.LAWRENCE RIVER WATER INTAKE AT THE WATER PLANT IN LASALLE","FLEUVE SAINT-LAURENT À LA PRISE D'EAU DE L'USINE DE FILTRATION DE LASALLE","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.4129","-73.6347","NAD83","QUE.","QC","ST. LAWRENCE","SAINT-LAURENT","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","","HTTP://WWW.MDDELCC.GOUV.QC.CA/EAU/ATLAS_INTERACTIF/CONV/00000078.XLSX","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-LAWRENCE-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-ST-LAWRENCE-ST-LAURENT-2000-PRESENT.CSV"
"00BR01AF0084","SAINT JOHN RIVER BELOW ST. BASILE, RTE 144","RIVIÈRE SAINT-JEAN EN AVAL DE ST. BASILE, ROUTE 144","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","47.3549","-68.2318","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/33242","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/33242","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AG0008","AROOSTOOK RIVER ABOVE BRIDGE, RTE 2","RIVIÈRE AROOSTOOK EN AMONT DU PONT, ROUTE 2","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.8216","-67.7341","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/17719","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/17719","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AH0019","TOBIQUE RIVER BELOW ARTHURETTE BRIDGE, RTE 109","RIVIÈRE TOBIQUE EN AVAL DU PONT D'ARTHURETTE, ROUTE 109","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.783","-67.511","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/129","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/129","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AJ0067","BIG PRESQUE ISLE STREAM ABOVE BRIDGE, RTE 103","RUISSEAU BIG PRESQUE ISLE EN AMONT DU PONT, ROUTE 103","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","46.3998","-67.6106","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/1095","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/1095","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AK0157","SAINT JOHN RIVER BELOW UPPER QUEENSBURY, RTE 105","RIVIÈRE SAINT-JEAN EN AVAL DE UPPER QUEENSBURY, ROUTE 105","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.9774","-67.173","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/33239","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/33239","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AL0036","NASHWAAK RIVER ABOVE MARYSVILLE BRIDGE, RTE 8","RIVIÈRE NASHWAAK EN AMONT DU PONT DE MARYSVILLE, ROUTE 8","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.9793","-66.591","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/10536","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/10536","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
"00BR01AP0067","SAINT JOHN RIVER EVANDALE, RTE 102","RIVIÈRE SAINT-JEAN À EVANDALE, ROUTE 102","RIVER OR STREAM/RIVIÈRE OU RUISSEAU","","","45.5926","-66.0269","NAD83","N.B.","N.-B.","SAINT JOHN - ST. CROIX","SAINT-JEAN - SAINTE-CROIX","ATLANTIC OCEAN","OCÉAN ATLANTIQUE","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/EN/SAMPLINGLOCATION/DETAILS/320","HTTPS://WWW.ELGEGL.GNB.CA/WATERNB-NBEAU/FR/LIEUÉCHANTILLONNAGE/MONTRER/320","HTTPS://DATA-DONNEES.EC.GC.CA/DATA/SUBSTANCES/MONITOR/NATIONAL-LONG-TERM-WATER-QUALITY-MONITORING-DATA/SAINT-JOHN-RIVER-AND-ST.-CROIX-RIVER-BASIN-LONG-TERM-WATER-QUALITY-MONITORING-DATA/WATER-QUAL-EAU-STJOHN-STCROIX-2000-PRESENT.CSV"
