VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE
"100081","371","ALUMINUM EXTRACTABLE","ALUMINIUM EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100082","387","BARIUM EXTRACTABLE","BARYUM EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100083","392","BERYLLIUM EXTRACTABLE","BÉRYLLIUM EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100084","410","CADMIUM EXTRACTABLE","CADMIUM EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100085","454","COBALT EXTRACTABLE","COBALT EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100086","461","CHROMIUM EXTRACTABLE","CHROME EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100087","468","COPPER EXTRACTABLE","CUIVRE EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100088","517","IRON EXTRACTABLE","FER EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100089","575","LITHIUM EXTRACTABLE","LITHIUM EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100090","589","MANGANESE EXTRACTABLE","MANGANÈSE EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
