SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON
"MA05PF0022","2000-01-12 14:01","","44.6","0.1","","10111","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","0.011","0.005","","7540","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","0","","","7570","MG/L","AMMONIA UN-IONIZED (CALCD.)","AZOTE AMMONIACAL NON IONISÉ (CALC.)","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","54.367","","","6201","MG/L","BICARBONATE (CALCD.)","BICARBONATE (CALC.)","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","13.5","0.01","","100431","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","5.706","","","6401","MG/L","CARBON DIOXIDE FREE (CALCD.)","DIOXYDE DE CARBONE LIBRE (CALC.)","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","8.99","0.1","","6104","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","0.233","0.005","","6901","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","9.223","","","6002","MG/L","CARBON TOTAL ORGANIC (CALCD.)","CARBONE ORGANIQUE TOTAL (CALC.)","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","0","","","6301","MG/L","CARBONATE (CALCD.)","CARBONATE (CALC.)","P","1999PN150071"
"MA05PF0022","2000-01-12 14:01","","1.73","0.05","","17206","MG/L","CHLORIDE DISSOLVED","CHLORURES DISSOUS","P","1999PN150071"
